,#,Start Time,End Time,Session Time,Upload[MB],Download[MB],Total[MB],MAC,Framed IP,Unnamed: 9
0,1,2022-11-12 20:26:30,Active Session,"0 days, 4 hrs, 28 min.",67.3,1662.44,1729.75,00-d5-9e-3c-a2-25,100.84.72.203,
1,2,2022-11-12 20:00:00,2022-11-12 20:25:09,"0 days, 0 hrs, 25 min.",6.53,90.36,96.89,00-d5-9e-3c-a2-25,100.76.88.234,
2,3,2022-11-12 06:32:10,2022-11-12 19:47:11,"0 days, 13 hrs, 15 min.",148.57,2525.59,2674.15,00-d5-9e-3c-a2-25,100.84.241.247,
3,4,2022-11-11 06:09:27,2022-11-11 23:27:11,"0 days, 17 hrs, 17 min.",528.25,8515.4,9043.65,00-d5-9e-3c-a2-25,100.84.131.46,
4,5,2022-11-10 18:14:43,2022-11-10 22:01:17,"0 days, 3 hrs, 46 min.",59.06,1265.12,1324.17,00-d5-9e-3c-a2-25,100.84.86.143,
5,6,2022-11-10 16:14:16,2022-11-10 18:14:16,"0 days, 2 hrs, 0 min.",11.74,173.7,185.44,00-d5-9e-3c-a2-25,100.84.76.28,
6,7,2022-11-09 16:29:55,2022-11-10 09:32:31,"0 days, 17 hrs, 2 min.",267.86,6982.92,7250.78,00-d5-9e-3c-a2-25,100.84.236.150,
7,8,2022-11-09 07:10:55,2022-11-09 14:30:07,"0 days, 7 hrs, 19 min.",20.39,677.36,697.75,00-d5-9e-3c-a2-25,100.84.191.45,
8,9,2022-11-09 06:35:12,2022-11-09 07:01:10,"0 days, 0 hrs, 25 min.",5.64,142.55,148.19,00-d5-9e-3c-a2-25,100.84.186.195,
9,10,2022-11-08 16:44:03,2022-11-09 00:02:17,"0 days, 7 hrs, 18 min.",100.97,1040.52,1141.49,00-d5-9e-3c-a2-25,100.84.154.12,
10,11,2022-11-08 06:14:32,2022-11-08 11:44:51,"0 days, 5 hrs, 30 min.",67.72,2008.27,2075.99,00-d5-9e-3c-a2-25,100.84.102.129,
11,12,2022-11-07 16:11:37,2022-11-08 00:17:20,"0 days, 8 hrs, 5 min.",419.13,18077.04,18496.18,00-d5-9e-3c-a2-25,100.84.60.180,
12,13,2022-11-06 18:58:15,2022-11-07 10:07:37,"0 days, 15 hrs, 9 min.",141.99,2505.24,2647.23,00-d5-9e-3c-a2-25,100.84.230.1,
13,14,2022-11-06 18:00:46,2022-11-06 18:55:31,"0 days, 0 hrs, 54 min.",18.21,247.8,266.01,00-d5-9e-3c-a2-25,100.76.2.105,
14,15,2022-11-06 09:30:18,2022-11-06 13:06:37,"0 days, 3 hrs, 36 min.",15.23,317.36,332.59,00-d5-9e-3c-a2-25,100.84.173.69,
15,16,2022-11-05 16:18:53,2022-11-06 08:41:16,"0 days, 16 hrs, 22 min.",372.28,3897.22,4269.49,00-d5-9e-3c-a2-25,100.84.117.39,
16,17,2022-11-05 11:29:43,2022-11-05 14:48:02,"0 days, 3 hrs, 18 min.",72.2,2715.03,2787.23,00-d5-9e-3c-a2-25,100.84.93.15,
17,18,2022-11-05 06:09:33,2022-11-05 10:14:07,"0 days, 4 hrs, 4 min.",92.06,2309.54,2401.6,00-d5-9e-3c-a2-25,100.84.61.125,
18,19,2022-11-04 16:24:21,2022-11-04 23:25:33,"0 days, 7 hrs, 1 min.",355.7,1930.16,2285.86,00-d5-9e-3c-a2-25,100.76.16.139,
19,20,2022-11-04 11:43:42,2022-11-04 14:38:16,"0 days, 2 hrs, 54 min.",52.15,1995.11,2047.26,00-d5-9e-3c-a2-25,100.84.253.153,
20,Total [MB],Total [MB],Total [MB],Total [MB],2822.97,59078.73,61901.7,,,
